RAM_Addr,Filter_ID,Tile_Y,Base_X,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
0,15,0,0,4176,4320,4464,4608,4752,4896,5040,5184,5328,5472,5616,5760,5904,6048,6192,6336
1,14,0,0,3915,4050,4185,4320,4455,4590,4725,4860,4995,5130,5265,5400,5535,5670,5805,5940
2,13,0,0,3654,3780,3906,4032,4158,4284,4410,4536,4662,4788,4914,5040,5166,5292,5418,5544
3,12,0,0,3393,3510,3627,3744,3861,3978,4095,4212,4329,4446,4563,4680,4797,4914,5031,5148
4,11,0,0,3132,3240,3348,3456,3564,3672,3780,3888,3996,4104,4212,4320,4428,4536,4644,4752
5,10,0,0,2871,2970,3069,3168,3267,3366,3465,3564,3663,3762,3861,3960,4059,4158,4257,4356
6,9,0,0,2610,2700,2790,2880,2970,3060,3150,3240,3330,3420,3510,3600,3690,3780,3870,3960
7,8,0,0,2349,2430,2511,2592,2673,2754,2835,2916,2997,3078,3159,3240,3321,3402,3483,3564
8,7,0,0,2088,2160,2232,2304,2376,2448,2520,2592,2664,2736,2808,2880,2952,3024,3096,3168
9,6,0,0,1827,1890,1953,2016,2079,2142,2205,2268,2331,2394,2457,2520,2583,2646,2709,2772
10,5,0,0,1566,1620,1674,1728,1782,1836,1890,1944,1998,2052,2106,2160,2214,2268,2322,2376
11,4,0,0,1305,1350,1395,1440,1485,1530,1575,1620,1665,1710,1755,1800,1845,1890,1935,1980
12,3,0,0,1044,1080,1116,1152,1188,1224,1260,1296,1332,1368,1404,1440,1476,1512,1548,1584
13,2,0,0,783,810,837,864,891,918,945,972,999,1026,1053,1080,1107,1134,1161,1188
14,1,0,0,522,540,558,576,594,612,630,648,666,684,702,720,738,756,774,792
15,0,0,0,261,270,279,288,297,306,315,324,333,342,351,360,369,378,387,396
16,15,0,16,6480,6624,6768,6912,7056,7200,7344,7488,7632,7776,5232,2640,0,0,0,0
17,14,0,16,6075,6210,6345,6480,6615,6750,6885,7020,7155,7290,4905,2475,0,0,0,0
18,13,0,16,5670,5796,5922,6048,6174,6300,6426,6552,6678,6804,4578,2310,0,0,0,0
19,12,0,16,5265,5382,5499,5616,5733,5850,5967,6084,6201,6318,4251,2145,0,0,0,0
20,11,0,16,4860,4968,5076,5184,5292,5400,5508,5616,5724,5832,3924,1980,0,0,0,0
21,10,0,16,4455,4554,4653,4752,4851,4950,5049,5148,5247,5346,3597,1815,0,0,0,0
22,9,0,16,4050,4140,4230,4320,4410,4500,4590,4680,4770,4860,3270,1650,0,0,0,0
23,8,0,16,3645,3726,3807,3888,3969,4050,4131,4212,4293,4374,2943,1485,0,0,0,0
24,7,0,16,3240,3312,3384,3456,3528,3600,3672,3744,3816,3888,2616,1320,0,0,0,0
25,6,0,16,2835,2898,2961,3024,3087,3150,3213,3276,3339,3402,2289,1155,0,0,0,0
26,5,0,16,2430,2484,2538,2592,2646,2700,2754,2808,2862,2916,1962,990,0,0,0,0
27,4,0,16,2025,2070,2115,2160,2205,2250,2295,2340,2385,2430,1635,825,0,0,0,0
28,3,0,16,1620,1656,1692,1728,1764,1800,1836,1872,1908,1944,1308,660,0,0,0,0
29,2,0,16,1215,1242,1269,1296,1323,1350,1377,1404,1431,1458,981,495,0,0,0,0
30,1,0,16,810,828,846,864,882,900,918,936,954,972,654,330,0,0,0,0
31,0,0,16,405,414,423,432,441,450,459,468,477,486,327,165,0,0,0,0
32,15,1,0,8208,8352,8496,8640,8784,8928,9072,9216,9360,9504,9648,9792,9936,10080,8624,7168
33,14,1,0,7695,7830,7965,8100,8235,8370,8505,8640,8775,8910,9045,9180,9315,9450,8085,6720
34,13,1,0,7182,7308,7434,7560,7686,7812,7938,8064,8190,8316,8442,8568,8694,8820,7546,6272
35,12,1,0,6669,6786,6903,7020,7137,7254,7371,7488,7605,7722,7839,7956,8073,8190,7007,5824
36,11,1,0,6156,6264,6372,6480,6588,6696,6804,6912,7020,7128,7236,7344,7452,7560,6468,5376
37,10,1,0,5643,5742,5841,5940,6039,6138,6237,6336,6435,6534,6633,6732,6831,6930,5929,4928
38,9,1,0,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,5390,4480
39,8,1,0,4617,4698,4779,4860,4941,5022,5103,5184,5265,5346,5427,5508,5589,5670,4851,4032
40,7,1,0,4104,4176,4248,4320,4392,4464,4536,4608,4680,4752,4824,4896,4968,5040,4312,3584
41,6,1,0,3591,3654,3717,3780,3843,3906,3969,4032,4095,4158,4221,4284,4347,4410,3773,3136
42,5,1,0,3078,3132,3186,3240,3294,3348,3402,3456,3510,3564,3618,3672,3726,3780,3234,2688
43,4,1,0,2565,2610,2655,2700,2745,2790,2835,2880,2925,2970,3015,3060,3105,3150,2695,2240
44,3,1,0,2052,2088,2124,2160,2196,2232,2268,2304,2340,2376,2412,2448,2484,2520,2156,1792
45,2,1,0,1539,1566,1593,1620,1647,1674,1701,1728,1755,1782,1809,1836,1863,1890,1617,1344
46,1,1,0,1026,1044,1062,1080,1098,1116,1134,1152,1170,1188,1206,1224,1242,1260,1078,896
47,0,1,0,513,522,531,540,549,558,567,576,585,594,603,612,621,630,539,448
48,15,1,16,5712,5856,6000,6144,6288,6432,6576,6720,6864,7008,4720,2384,0,0,0,0
49,14,1,16,5355,5490,5625,5760,5895,6030,6165,6300,6435,6570,4425,2235,0,0,0,0
50,13,1,16,4998,5124,5250,5376,5502,5628,5754,5880,6006,6132,4130,2086,0,0,0,0
51,12,1,16,4641,4758,4875,4992,5109,5226,5343,5460,5577,5694,3835,1937,0,0,0,0
52,11,1,16,4284,4392,4500,4608,4716,4824,4932,5040,5148,5256,3540,1788,0,0,0,0
53,10,1,16,3927,4026,4125,4224,4323,4422,4521,4620,4719,4818,3245,1639,0,0,0,0
54,9,1,16,3570,3660,3750,3840,3930,4020,4110,4200,4290,4380,2950,1490,0,0,0,0
55,8,1,16,3213,3294,3375,3456,3537,3618,3699,3780,3861,3942,2655,1341,0,0,0,0
56,7,1,16,2856,2928,3000,3072,3144,3216,3288,3360,3432,3504,2360,1192,0,0,0,0
57,6,1,16,2499,2562,2625,2688,2751,2814,2877,2940,3003,3066,2065,1043,0,0,0,0
58,5,1,16,2142,2196,2250,2304,2358,2412,2466,2520,2574,2628,1770,894,0,0,0,0
59,4,1,16,1785,1830,1875,1920,1965,2010,2055,2100,2145,2190,1475,745,0,0,0,0
60,3,1,16,1428,1464,1500,1536,1572,1608,1644,1680,1716,1752,1180,596,0,0,0,0
61,2,1,16,1071,1098,1125,1152,1179,1206,1233,1260,1287,1314,885,447,0,0,0,0
62,1,1,16,714,732,750,768,786,804,822,840,858,876,590,298,0,0,0,0
63,0,1,16,357,366,375,384,393,402,411,420,429,438,295,149,0,0,0,0
64,15,2,0,7440,7584,7728,7872,8016,8160,8304,8448,8592,8736,8880,9024,9168,9312,7856,6400
65,14,2,0,6975,7110,7245,7380,7515,7650,7785,7920,8055,8190,8325,8460,8595,8730,7365,6000
66,13,2,0,6510,6636,6762,6888,7014,7140,7266,7392,7518,7644,7770,7896,8022,8148,6874,5600
67,12,2,0,6045,6162,6279,6396,6513,6630,6747,6864,6981,7098,7215,7332,7449,7566,6383,5200
68,11,2,0,5580,5688,5796,5904,6012,6120,6228,6336,6444,6552,6660,6768,6876,6984,5892,4800
69,10,2,0,5115,5214,5313,5412,5511,5610,5709,5808,5907,6006,6105,6204,6303,6402,5401,4400
